ID	CONCEPT	DOCULECT	SUBGROUP	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	BORROWING	NOTE	SOURCE
859	to eat	WitotoMinica	Huitotoan	ʧiʧóde	ʧiʧóde	tʃ i tʃ o + d e	2345	1770 3882	tʃ i tʃ o + d e			None	Huber2021
860	to eat	WitotoMinica	Huitotoan	ʤibáde	ʤibáde	dʒ i b a + d e	2345	1771 3882	dʒ i b a + d e			None	Huber2021
861	to eat	WitotoMinica	Huitotoan	guíte	guíte	g u.i + t e	2351	1768 3888	g u.i + t e			'eat (anything)'	Huber2021
862	to bite	WitotoMinica	Huitotoan	aɯníde	aɯníde	a.ɯ n i + d e	2187	3625 1730	a.ɯ n i + d e			None	Huber2021
863	see	WitotoMinica	Huitotoan	eróide	eróide	e ɾ o i + d e	1719	2840 254	e ɾ o i + d e			None	Huber2021
864	see	WitotoMinica	Huitotoan	kɯóde	kɯóde	k ɯ o + d e	1720	2841 254	k ɯ o + d e			None	Huber2021
865	to hear	WitotoMinica	Huitotoan	kakáde	kakáde	k a k a + d e	2455	4075 1823	( - ) k a k a + d e			None	Huber2021
866	to know (facts)	WitotoMinica	Huitotoan	onóde	onóde	o n o + d e	2528	4213 1844	o n o + d e			None	Huber2021
867	sleep	WitotoMinica	Huitotoan	ɯnɯ́de	ɯnɯ́de	ɯ n ɯ + d e	1838	3024 335	ɯ n ɯ + d e			None	Huber2021
868	to die	WitotoMinica	Huitotoan	tɯíde	tɯíde	t ɯ i + d e	2290	3794 1765	t ɯ i + d e			None	Huber2021
869	to kill	WitotoMinica	Huitotoan	méinete	méinete	m e.i n e + t e	2519	4189 1843	m e.i n e + t e			None	Huber2021
870	to swim	WitotoMinica	Huitotoan	ɯ́ɯde	ɯ́ɯde	ɯː + d e	2773	4607 431	ɯː + d e			None	Huber2021
871	to fly	WitotoMinica	Huitotoan	ɸéede	ɸéede	ɸ eː + d e	2414	4011 1821	ɸ eː + d e			None	Huber2021
872	to walk	WitotoMinica	Huitotoan	makáde	makáde	m a k a + d e	2850	4760 1879	m a k a + d e			None	Huber2021
873	to come	WitotoMinica	Huitotoan	bíte	bíte	b i + t e	2245	3721 1760	b i + t e			None	Huber2021
874	to give	WitotoMinica	Huitotoan	ɸekáde	ɸekáde	ɸ e k a + d e	2441	4053 1822	ɸ e k a + d e			None	Huber2021
875	say	WitotoMinica	Huitotoan	dáɯde	dáɯde	d a.ɯ + d e	1666	245 244	d a.ɯ + d e			None	Huber2021
876	mountain	WitotoMinica	Huitotoan	kaiɸónedu	kaiɸónedu	k a i ɸ o + n e + d u	1240	2031 1616 1593	k a i ɸ o + n e + d u			?-LOC-CLF:HILL	Huber2021
877	mountain	WitotoMinica	Huitotoan	iɸerɯ	iɸerɯ	i + ɸ e + ɾ ɯ	1244	1617 1618 1619	i + ɸ e + ɾ ɯ			/i/ anaphoric demonstrative, /-fe/ CLF:side, and  /-rɯ/ unproductive locative (formative)	Huber2021
878	red	WitotoMinica	Huitotoan	híaɯrede	híaɯrede	h i a ɯ + ɾ e + d e	1511	2482 1679 1680	h i a ɯ + ɾ e + d e			None	Huber2021
879	green	WitotoMinica	Huitotoan	mókorede	mókorede	m o k o + ɾ e + d e	835	1333 1322 1327	m o k o ( - - ) + ɾ e + d e			None	Huber2021
880	yellow	WitotoMinica	Huitotoan	borárede	borárede	b o ɾ a + ɾ e + d e	3272	5501 2015 2016	b o ɾ a + ɾ e + d e			None	Huber2021
881	new	WitotoMinica	Huitotoan	kómue	kómue	k o m u + e	1358	2206 1659	k o m u + e			None	Huber2021
882	dry (substance)	WitotoMinica	Huitotoan	θaɸérede	θaɸérede	θ a ɸ e + ɾ e + d e	418	666 1447 1448	θ a ɸ e + ɾ e + d e			None	Huber2021
883	name	WitotoMinica	Huitotoan	mámekɯ	mámekɯ	m a m e + k ɯ	1274	2089 1622	m a m e + k ɯ			None	Huber2021
884	how	WitotoMinica	Huitotoan	nɯ́eθe	nɯ́eθe	n ɯ + e + θ e	986	1611 1534 1535	n ɯ + e + θ e			None	Huber2021
885	how	WitotoMinica	Huitotoan	nédi	nédi	n e d i	987	1602	n e d i ( - - )			None	Huber2021
886	when?	WitotoMinica	Huitotoan	nɯrúido	nɯrúido	n ɯ + ɾ u.i + d o	3044	5118 1912 1913	n ɯ + ɾ u.i + d o			None	Huber2021
887	where?	WitotoMinica	Huitotoan	nɯnó	nɯnó	n ɯ + n o	3059	5143 1915	n ɯ + n o			None	Huber2021
888	where?	WitotoMinica	Huitotoan	nɯné	nɯné	n ɯ + n e	3059	5143 1925	n ɯ + n e			None	Huber2021
889	here	WitotoMinica	Huitotoan	bené	bené	b e + n e	963	1570 2386	b e ( - - ) + n e			None	Huber2021
890	here	WitotoMinica	Huitotoan	benó	benó	b e + n o	963	1570 2386	b e ( - - ) + n o			None	Huber2021
891	there	WitotoMinica	Huitotoan	batɯ́ne	batɯ́ne	b a + t ɯ + n e	2072	3405 453 454	b a + t ɯ + n e			None	Huber2021
892	there	WitotoMinica	Huitotoan	hadɯ́	hadɯ́	h a + d ɯ	2072	455 453	h a + d ɯ			None	Huber2021
893	other	WitotoMinica	Huitotoan	hɯáɯ	hɯáɯ	h ɯ a ɯ	1472	2419	h ɯ a ɯ			None	Huber2021
894	other	WitotoMinica	Huitotoan	hɯáɯe	hɯáɯe	h ɯ a ɯ + e	1472	2419 1678	h ɯ a ɯ + e			None	Huber2021
895	few	WitotoMinica	Huitotoan	dúera	dúera	d u e + ɾ a	628	1006 1007	d u e + ɾ a			None	Huber2021
896	fog	WitotoMinica	Huitotoan	róʤi	róʤi	ɾ o dʒ i	726	1162	ɾ o dʒ i			None	Huber2021
897	fog	WitotoMinica	Huitotoan	róθi	róθi	ɾ o θ i	726	1162	ɾ o θ i			None	Huber2021
898	fog	WitotoMinica	Huitotoan	úiʤɯe	úiʤɯe	ui dʒ ɯ e	728	1164	ui dʒ ɯ e			None	Huber2021
899	to flow	WitotoMinica	Huitotoan	tóte	tóte	t o + t e	2401	3992 1820	t o + t e			None	Huber2021
900	sea (ocean)	WitotoMinica	Huitotoan	monáiʤahi	monáiʤahi	m o n a.i dʒ a + h i	1688	2790 1707	m o n a.i dʒ a + h i			?-CLF:WATERY	Huber2021
901	wet	WitotoMinica	Huitotoan	rɯáide	rɯáide	ɾ ɯ a.i + d e	3012	5063 1910	ɾ ɯ a.i + d e			None	Huber2021
902	to wash	WitotoMinica	Huitotoan	hokóde	hokóde	h o k o + d e	2860	4783 1882	h o k o + d e			None	Huber2021
903	worm	WitotoMinica	Huitotoan	ìgɯ́roɯ	ìgɯ́roɯ	i + g ɯ ɾ o + ɯ	3224	2006 2007 2008	i + g ɯ ɾ o + ɯ			None	Huber2021
904	worm	WitotoMinica	Huitotoan	aìgɯ́roɯ	aìgɯ́roɯ	a i + g ɯ ɾ o + ɯ	3224	2009 2007 2008	a i + g ɯ ɾ o + ɯ			None	Huber2021
905	worm	WitotoMinica	Huitotoan	áɯkɯ	áɯkɯ	a ɯ k ɯ	3224	5416	a ɯ k ɯ			None	Huber2021
906	wing	WitotoMinica	Huitotoan	iáiko	iáiko	i a.i + k o	3166	5320 1979	i a.i + k o			None	Huber2021
907	with (accompanying)	WitotoMinica	Huitotoan	dɯ́ga	dɯ́ga	d ɯ g a	3177	5337	d ɯ g a			None	Huber2021
908	in	WitotoMinica	Huitotoan	mo	mo	m o	1032	1688	m o			None	Huber2021
909	in	WitotoMinica	Huitotoan	éro	éro	e ɾ o	1035	1691	e ɾ o			None	Huber2021
910	in	WitotoMinica	Huitotoan	hóɸo	hóɸo	h o ɸ o	1038	1694	h o ɸ o			None	Huber2021
911	at	WitotoMinica	Huitotoan	mo	mo	m o	76	135	m o			None	Huber2021
912	if	WitotoMinica	Huitotoan	íadɯ	íadɯ	i a + d ɯ	1023	1668 6	i a + d ɯ			COND1-?	Huber2021
913	if	WitotoMinica	Huitotoan	níadɯ	níadɯ	n i a + d ɯ	1023	1536 6	n i a + d ɯ			COND2-?	Huber2021
914	child (young person rather than as relationship term)	WitotoMinica	Huitotoan	úrue	úrue	u ɾ u + e	314	512 2249	u ɾ u + e			None	Huber2021
915	to cut	WitotoMinica	Huitotoan	haitáde	haitáde	h a.i + t a + d e	2266	1762 1763 3759	h a.i + t a + d e			None	Huber2021
916	to cut	WitotoMinica	Huitotoan	kotáde	kotáde	k o + t a + d e	2266	1764 1763 3759	k o + t a + d e			None	Huber2021
917	wide	WitotoMinica	Huitotoan	áiʤue	áiʤue	a.i dʒ u + e	3117	5243 1975	a.i dʒ u + e			None	Huber2021
918	wide	WitotoMinica	Huitotoan	íairorede	íairorede	i + a.i ɾ o + ɾ e + d e	3120	5246 1956 1973 1974	i + a.i ɾ o + ɾ e + d e			that-CLF:LONGISH.FLEX-ATTR-LIK.3	Huber2021
919	narrow	WitotoMinica	Huitotoan	rɯʤírede	rɯʤírede	ɾ ɯ dʒ i + ɾ e + d e	1301	2126 1623 1624	ɾ ɯ dʒ i + ɾ e + d e			None	Huber2021
920	far	WitotoMinica	Huitotoan	are	are	a ɾ e	556	890	a ɾ e			None	Huber2021
921	far	WitotoMinica	Huitotoan	hɯ́ka	hɯ́ka	h ɯ k a	559	893	h ɯ k a			None	Huber2021
922	near	WitotoMinica	Huitotoan	áɯnori	áɯnori	a ɯ + n o + ɾ i	1319	2151 1625 1639	a ɯ + n o + ɾ i			None	Huber2021
923	near	WitotoMinica	Huitotoan	íanori	íanori	i a + n o + ɾ i	1319	2149 1625 1639	i a + n o + ɾ i			short-CLF:SP.PLACE-ATT	Huber2021
924	thick	WitotoMinica	Huitotoan	hédakɯede	hédakɯede	h e d a k ɯ + e + d e	2102	3475 492 491	h e d a k ɯ + e + d e			None	Huber2021
925	thin	WitotoMinica	Huitotoan	ʤɯ́aɯde	ʤɯ́aɯde	dʒ ɯ a.ɯ + d e	2125	3508 1713	dʒ ɯ a.ɯ + d e			None	Huber2021
926	short	WitotoMinica	Huitotoan	íanori	íanori	i a + n o + ɾ i	1774	2922 290 288	i.a + n o + ɾ i			None	Huber2021
927	heavy	WitotoMinica	Huitotoan	mérede	mérede	m e + ɾ e + d e	953	1550 1519 1532	m e + ɾ e + d e			None	Huber2021
928	dull (knife)	WitotoMinica	Huitotoan	háinide	háinide	h ai + n i + d e	431	687 1449 1450	h ai + n i + d e			None	Huber2021
929	sharp (as knife)	WitotoMinica	Huitotoan	háirede	háirede	h a.i + ɾ e + d e	1754	2895 259 286	h a.i + ɾ e + d e			None	Huber2021
930	dirty	WitotoMinica	Huitotoan	ɯáɯrede	ɯáɯrede	ɯ a ɯ + ɾ e + d e	376	603 1443 1445	ɯ a ɯ + ɾ e + d e			None	Huber2021
931	rotten (especially log)	WitotoMinica	Huitotoan	rɯɸáide	rɯɸáide	ɾ ɯ ɸ a.i + d e	1630	2682 238	ɾ ɯ ɸ a.i + d e			None	Huber2021
932	rotten (especially log)	WitotoMinica	Huitotoan	θabíde	θabíde	θ a b i + d e	1633	2685 238	θ a b i + d e			None	Huber2021
933	smooth	WitotoMinica	Huitotoan	rɯ́ɯrede	rɯ́ɯrede	ɾ ɯː + ɾ e + d e	1894	3112 343 344	ɾ ɯː + ɾ e + d e			None	Huber2021
934	straight	WitotoMinica	Huitotoan	haɯ́kɯna	haɯ́kɯna	h aɯ k ɯ + n a	2002	3284 413	h aɯ k ɯ + n a			None	Huber2021
935	right (correct)	WitotoMinica	Huitotoan	ɲuéra	ɲuéra	ɲ u e ɾ a	1524	2512	ɲ u e ɾ a			Possible /-ra/ ATT	Huber2021
936	left (hand)	WitotoMinica	Huitotoan	harɯ́ɸene	harɯ́ɸene	h a ɾ ɯ ɸ e + n e	1088	1786 1558	h a ɾ ɯ ɸ e ( - - - - ) + n e			None	Huber2021
937	right (hand)	WitotoMinica	Huitotoan	nabéɸene	nabéɸene	n a + b e + ɸ e + n e	1544	1698 2541 1695 1696	n a + b e + ɸ e + n e			ANA.SP.DEM-ADV.DEM-CLF:SIDE-LOC	Huber2021
938	to pull	WitotoMinica	Huitotoan	θonóde	θonóde	θ o n o + d e	2587	4308 1847	θ o n o + d e			None	Huber2021
939	to push	WitotoMinica	Huitotoan	ɲuitáde	ɲuitáde	ɲ u.i + t a + d e	2592	1850 1848 1849	ɲ u.i + t a + d e			None	Huber2021
940	to throw	WitotoMinica	Huitotoan	bɯtáde	bɯtáde	b ɯ + t a + d e	2803	4666 543 540	b ɯ + t a + d e			None	Huber2021
941	to throw	WitotoMinica	Huitotoan	batáde	batáde	b a + t a + d e	2803	4666 543 540	b a + t a + d e			None	Huber2021
942	to throw	WitotoMinica	Huitotoan	ɲáɯte	ɲáɯte	ɲ a.ɯ + t e	2803	539 540	- ɲ a.ɯ + t e			None	Huber2021
943	to split	WitotoMinica	Huitotoan	botáde	botáde	b o + t a + d e	2697	4482 374 375	b o + t a + d e			None	Huber2021
944	to dig	WitotoMinica	Huitotoan	ráɯte	ráɯte	ɾ a.ɯ + t e	2304	3821 1766	ɾ a.ɯ + t e			None	Huber2021
945	to tie	WitotoMinica	Huitotoan	kuináde	kuináde	k u.i n a + d e	2822	4699 1877	k u.i n a + d e			None	Huber2021
946	to sew	WitotoMinica	Huitotoan	tɯɸóde	tɯɸóde	t ɯ + ɸ o + d e	2642	4392 278 285	t ɯ + ɸ o + d e			None	Huber2021
947	to fall (drop rather than topple)	WitotoMinica	Huitotoan	baəíde	baəíde	b a.ə.i + d e	2369	3927 1793	b a.ə.i + d e			None	Huber2021
948	to fall (drop rather than topple)	WitotoMinica	Huitotoan	uáide	uáide	u a.i + d e	2369	1788 1793	u a.i + d e			None	Huber2021
949	to swell	WitotoMinica	Huitotoan	ɸáide	ɸáide	ɸ a.i + d e	2753	4581 421	ɸ a.i + d e			None	Huber2021
950	to swell	WitotoMinica	Huitotoan	ɸíipukude	ɸíipukude	ɸ iː p u k u + d e	2758	4586 421	ɸ iː p u k u + d e			None	Huber2021
951	to think	WitotoMinica	Huitotoan	komekɯ ɸakáde	komekɯ ɸakáde	k o m e k ɯ + ɸ a k a + d e	2788	4637 4638 2516	k o m e k ɯ + ɸ a k a + d e			None	Huber2021
952	to sing	WitotoMinica	Huitotoan	róte	róte	ɾ o + t e	2656	4414 294	ɾ o + t e			None	Huber2021
953	to smell (perceive odor)	WitotoMinica	Huitotoan	haʤéde	haʤéde	h a dʒ e + d e	2671	4440 1861	h a dʒ e + d e			None	Huber2021
954	to vomit	WitotoMinica	Huitotoan	kɯkúede	kɯkúede	k ɯ k u e + d e	2843	4743 1878	k ɯ k u e + d e			None	Huber2021
955	to suck	WitotoMinica	Huitotoan	hanóde	hanóde	h a + n o + d e	2739	4553 418 416	h a + n o + d e			None	Huber2021
956	to suck	WitotoMinica	Huitotoan	ʧiʧóde	ʧiʧóde	tʃ i + tʃ o + d e	2740	4554 417 416	tʃ i + tʃ o + d e			None	Huber2021
957	to suck	WitotoMinica	Huitotoan	ʤibáde	ʤibáde	dʒ i + b a + d e	2740	4554 415 416	dʒ i + b a + d e			None	Huber2021
958	to blow (of wind)	WitotoMinica	Huitotoan	haiɲóde	haiɲóde	h a.i + ɲ o + d e	2208	3661 1757 1731	h a.i + ɲ o + d e			None	Huber2021
959	to blow (of wind)	WitotoMinica	Huitotoan	ɸúude	ɸúude	ɸ uː + d e	2209	1756 1731	ɸ uː + d e			None	Huber2021
960	to fear	WitotoMinica	Huitotoan	hakɯ́ruite	hakɯ́ruite	h a k ɯ + ɾ u.i + t e	2381	3954 1794 1796	h a k ɯ + ɾ u.i + t e			None	Huber2021
961	to squeeze	WitotoMinica	Huitotoan	omɯ́de	omɯ́de	o m ɯ + d e	2706	4499 376	o m ɯ + d e			None	Huber2021
962	to squeeze	WitotoMinica	Huitotoan	ɯdúide	ɯdúide	ɯ d u.i + d e	2708	4501 376	ɯ d u.i + d e			None	Huber2021
963	to hold (in hand)	WitotoMinica	Huitotoan	moθíɲote	moθíɲote	m o θ i + ɲ o + t e	2487	4136 1841 1842	m o θ i + ɲ o + t e			None	Huber2021
964	dust	WitotoMinica	Huitotoan	enɯ́ʧoma	enɯ́ʧoma	e n ɯ tʃ o m a	448	716	e n ɯ tʃ o m a			None	Huber2021
965	to live	WitotoMinica	Huitotoan	káade	káade	k aː + d e	2566	4271 768	k aː + d e			None	Huber2021
966	rope	WitotoMinica	Huitotoan	ígaɯ	ígaɯ	i + g a ɯ	1613	2654 1705	i + g a ɯ			None	Huber2021
967	rope	WitotoMinica	Huitotoan	rao	rao	ɾ a + o	1617	2658 1704	ɾ a + o			None	Huber2021
968	tongue	WitotoMurui	Huitotoan	iɯɸe	iɯɸe	i ɯ ɸ e	2890	4828	i ɯ ɸ e			None	Huber2021
969	mouth	WitotoMurui	Huitotoan	ɸue	ɸue	ɸ u e	1257	2062	ɸ u e			None	Huber2021
970	tooth (front rather than molar)	WitotoMurui	Huitotoan	iθido	iθido	i θ i + d o	2907	4860 545	i θ i + d o			None	Huber2021
971	nose	WitotoMurui	Huitotoan	doɸo	doɸo	d o + ɸ o	1388	2264 1671	d o + ɸ o			(de-fo) nose-CLF:CAVITY	Huber2021
972	eye	WitotoMurui	Huitotoan	uiθɯ	uiθɯ	u.i θ ɯ	539	855	u.i θ ɯ			None	Huber2021
973	ear	WitotoMurui	Huitotoan	heɸo	heɸo	h e ɸ o	472	750	h e ɸ o			None	Huber2021
974	head	WitotoMurui	Huitotoan	ɯɸogɯ	ɯɸogɯ	ɯ ɸ o + g ɯ	921	1485 1505	ɯ ɸ o + g ɯ			head-CLF:OVAL	Huber2021
975	neck	WitotoMurui	Huitotoan	kɯmagoɯ	kɯmagoɯ	k ɯ m a + g o ɯ	1329	2163 1649	k ɯ m a + g o ɯ			neck-CLF:SKIN	Huber2021
976	belly	WitotoMurui	Huitotoan	hébe	hébe	h e b e	166	274	h e b e			None	Huber2021
977	belly	WitotoMurui	Huitotoan	ɸenaɯ hiʤakɯ	ɸenaɯ hiʤakɯ	ɸ e n aɯ + h i dʒ a + k ɯ	173	281 282 279	ɸ e n aɯ + h i dʒ a + k ɯ			None	Huber2021
978	back (person's)	WitotoMurui	Huitotoan	emodo	emodo	e m o d o	94	166	( - ) e m o d o			None	Huber2021
979	hand	WitotoMurui	Huitotoan	onoʤɯ	onoʤɯ	o n o + dʒ ɯ	873	1395 1497	o n o + dʒ ɯ			hand-CLF:BUSHY	Huber2021
980	hand	WitotoMurui	Huitotoan	onoɯ	onoɯ	o n o + ɯ	873	1395 1496	o n o + ɯ			None	Huber2021
981	leg	WitotoMurui	Huitotoan	ɯda kairo	ɯda kairo	ɯ d a + k ai r o	1104	1812 1813	ɯ d a + k ai r o			lower.leg long	Huber2021
982	foot	WitotoMurui	Huitotoan	eɯʤɯ	eɯʤɯ	e ɯ + dʒ ɯ	750	1193 1461	e ɯ + dʒ ɯ			foot-CLF:bushy	Huber2021
983	bone	WitotoMurui	Huitotoan	iʤaikɯ	iʤaikɯ	i dʒ ai + k ɯ	300	485 1430	i dʒ ai + k ɯ			bone-CLF:INHER	Huber2021
984	blood	WitotoMurui	Huitotoan	dɯe	dɯe	d ɯ + e	269	424 2240	( - ) d ɯ + e			According to Wotjylak (2017), seems to be a Tucanoan borrowing (dii).	Huber2021
985	blood	WitotoMurui	Huitotoan	dɯrue	dɯrue	d ɯ + r u e	269	424 395	( - ) d ɯ + r u e			blood-CLF:THINGS	Huber2021
986	heart	WitotoMurui	Huitotoan	komekɯ	komekɯ	k o m e + k ɯ	940	1525 1530	k o m e + k ɯ			heart-CLF:ROUND	Huber2021
987	woman	WitotoMurui	Huitotoan	rɯɲo	rɯɲo	r ɯ + ɲ o	3196	1981 1982	r ɯ + ɲ o			woman-CLF:DR.F	Huber2021
988	husband	WitotoMurui	Huitotoan	ɯni	ɯni	ɯ n i	999	1634	ɯ n i			Maybe borrowing from Tucanoan (Wojtylak 2017).	Huber2021
989	wife	WitotoMurui	Huitotoan	aɯ	aɯ	a.ɯ	3129	5265	a.ɯ			None	Huber2021
990	father	WitotoMurui	Huitotoan	moo	moo	m oː	581	930	m oː			None	Huber2021
991	mother	WitotoMurui	Huitotoan	ei	ei	e.i	1218	1996	e.i			None	Huber2021
992	old	WitotoMurui	Huitotoan	eiroma	eiroma	e i + r o + m a	1434	2352 1674 1673	e i + r o + m a			mature-?-CLF:M	Huber2021
993	old	WitotoMurui	Huitotoan	uaɯkɯma	uaɯkɯma	u a ɯ k ɯ + m a	1439	2357 1673	u a ɯ k ɯ + m a			None	Huber2021
994	water	WitotoMurui	Huitotoan	hɯnui	hɯnui	h ɯ n u.i	2979	4993	h ɯ n u.i			None	Huber2021
995	river	WitotoMurui	Huitotoan	imani	imani	i + m a n i	1559	2565 1697	i + m a n i			ANA.DEM-CLF:BIG.RIVER	Huber2021
996	river	WitotoMurui	Huitotoan	iʤe	iʤe	i + dʒ e	1571	2565 2577	i + dʒ e			ANA.DEM-CLF:RIVER	Huber2021
997	lake	WitotoMurui	Huitotoan	horai	horai	h o r ai	1049	1725	h o r ai ( - - )			None	Huber2021
998	fire	WitotoMurui	Huitotoan	irai	irai	i r ai	655	1040	i r ai			None	Huber2021
999	ashes	WitotoMurui	Huitotoan	huθeɸo	huθeɸo	h u θ e ɸ o	66	115	h u θ e ɸ o			None	Huber2021
1000	smoke (of fire)	WitotoMurui	Huitotoan	uiʤɯe	uiʤɯe	ui + dʒ ɯ + e	1876	3083 341 342	ui + dʒ ɯ + e			None	Huber2021
1001	sky	WitotoMurui	Huitotoan	mona	mona	m o n a	1813	2984	m o n a			None	Huber2021
1002	wind	WitotoMurui	Huitotoan	hairiɸo	hairiɸo	h a.i r i ɸ o	3148	5293	h a.i r i ɸ o			None	Huber2021
1003	wind	WitotoMurui	Huitotoan	aɯɸɯ	aɯɸɯ	a.ɯ ɸ ɯ	3142	5287	- a.ɯ ɸ ɯ			None	Huber2021
1004	sun	WitotoMurui	Huitotoan	hitoma	hitoma	h i t o m a	2026	3320	h i t o m a			None	Huber2021
1005	star	WitotoMurui	Huitotoan	ukudu	ukudu	u k u + d u	1940	3180 378	u k u ( - - ) + d u			None	Huber2021
1006	day (opposite of night rather than time measure)	WitotoMurui	Huitotoan	aremona	aremona	a r e + m o n a	349	1433 562	a r e + m o n a			None	Huber2021
1007	night	WitotoMurui	Huitotoan	naɯo	naɯo	n a ɯ o	1369	2228	( - - - ) n a ɯ o ( - - - - )			None	Huber2021
1008	night	WitotoMurui	Huitotoan	naɯona	naɯona	n a ɯ o + n a	1369	2228 1670	( - - - ) n a ɯ o ( - - - - ) + n a			night-N.S / A. TOP 'at night'	Huber2021
1009	earth (soil)	WitotoMurui	Huitotoan	enɯrue	enɯrue	e n ɯ + r u e	493	787 1452	e n ɯ + r u e			earth-CLF:THINGS	Huber2021
1010	stone	WitotoMurui	Huitotoan	noɸɯkɯ	noɸɯkɯ	n o ɸ ɯ + k ɯ	1985	3257 412	n o ɸ ɯ + k ɯ			None	Huber2021
1011	sand	WitotoMurui	Huitotoan	koniʤɯe	koniʤɯe	k o n i dʒ ɯ + e	1663	2738 243	k o n i dʒ ɯ + e			None	Huber2021
1012	dog	WitotoMurui	Huitotoan	hɯko	hɯko	h ɯ k o	391	629	h ɯ k o			None	Huber2021
1013	tail	WitotoMurui	Huitotoan	omakaɯ	omakaɯ	o m a + k a.ɯ	2045	3354 451	o m a + k a.ɯ			?-CLF:STEM	Huber2021
1014	snake	WitotoMurui	Huitotoan	haio	haio	h ai + o	1910	3137 2456	h ai + o			None	Huber2021
1015	bird	WitotoMurui	Huitotoan	oɸokuiɲo	oɸokuiɲo	o ɸ o + k ui ɲ o	224	371 366	o ɸ o + k ui ɲ o			None	Huber2021
1016	bird	WitotoMurui	Huitotoan	θiʤi	θiʤi	θ i dʒ i	230	372	θ i dʒ i			None	Huber2021
1017	fish	WitotoMurui	Huitotoan	ʤɯkɯaɯ	ʤɯkɯaɯ	dʒ ɯ k ɯ + aɯ	673	1073 1032	dʒ ɯ k ɯ + aɯ			fish-PL	Huber2021
1018	louse	WitotoMurui	Huitotoan	ɯboma	ɯboma	ɯ b o + m a	1157	1898 1578	ɯ b o + m a			?-CLF:AN.M	Huber2021
1019	tree	WitotoMurui	Huitotoan	amena	amena	a m e + n a	2914	4885 1884	a m e ( - - ) + n a			None	Huber2021
1020	leaf	WitotoMurui	Huitotoan	ibe	ibe	i + b e	1063	1554 1743	i + b e			ANA.NSP-CLF:LEAF	Huber2021
1021	flower	WitotoMurui	Huitotoan	θaɸia	θaɸia	θ a ɸ i + a	703	1129 1460	θ a ɸ i + a			floursh-E.NMLZ	Huber2021
1022	to rub	WitotoMurui	Huitotoan	riara	riara	r i a + r a	2620	4361 240	r i a + r a			None	Huber2021
1023	root	WitotoMurui	Huitotoan	hainao	hainao	h a i + n a + o	1594	2619 1702 1703	h a i + n a + o			?-CLF:TREE-CLF:FLEX	Huber2021
1024	seed	WitotoMurui	Huitotoan	ido	ido	i + d o	1738	255 2870	i + d o			None	Huber2021
1025	stick (of wood)	WitotoMurui	Huitotoan	rada	rada	r a + d a	1956	3210 409	r a + d a			None	Huber2021
1026	stick (of wood)	WitotoMurui	Huitotoan	radoθi	radoθi	r a + d o θ i	1956	3210 410	r a + d o θ i			None	Huber2021
1027	stick (of wood)	WitotoMurui	Huitotoan	amena	amena	a m e n a	1969	3224	a m e n a			None	Huber2021
1028	grass	WitotoMurui	Huitotoan	raitɯkɯɲo	raitɯkɯɲo	r a.i t ɯ + k ɯ ɲ o	816	1301 1492	r a.i t ɯ + k ɯ ɲ o			Maybe /kɯ-ɲo/ CLF:CLUSTER-CLF:(?)	Huber2021
1029	feather (larger feathers rather than down)	WitotoMurui	Huitotoan	oogodo	oogodo	oː g o + d o	607	971 2324	oː g o + d o			/-do/ CLF:SMALL.POINTED	Huber2021
1030	salt	WitotoMurui	Huitotoan	ɯaiθaɯ	ɯaiθaɯ	ɯ a.i θ a.ɯ	1642	2707	ɯ a.i θ a.ɯ			None	Huber2021
1031	one	WitotoMurui	Huitotoan	dahe	dahe	d a + h e	1446	1677 1676	d a + h e			CLF:G	Huber2021
1032	one	WitotoMurui	Huitotoan	dae	dae	d a + e	1446	1677 1676	d a + - e			CLF:G	Huber2021
1033	two	WitotoMurui	Huitotoan	mena	mena	m e n a	2948	4943	m e n a			Similar to Boran forms.	Huber2021
1034	three	WitotoMurui	Huitotoan	dahe amani	dahe amani	d a + h e + a + m a + n i	2174	3586 1729 3602 518 519	d a + h e + a + m a + n i			None	Huber2021
1035	four	WitotoMurui	Huitotoan	naga amaga	naga amaga	n a g a + a + m a + g a	772	1238 1240 1463 1471	n a g a + a + m a + g a			each brother-CLF:DR.M-QUANT	Huber2021
1036	five	WitotoMurui	Huitotoan	dabekuiro	dabekuiro	d a + b e + k ui r o	694	1458 1112 1457	d a + b e + k ui r o			one-CLF:leaf-CLF:peel 'five (lit. one (hand's) leaf peel)' (Wojtylak 2017)	Huber2021
1037	I	WitotoMurui	Huitotoan	kue	kue	k u e	2	2	k u e			None	Huber2021
1038	thou	WitotoMurui	Huitotoan	o	o	o	2149	3559	o			None	Huber2021
1039	he	WitotoMurui	Huitotoan	imɯe	imɯe	i + m ɯe	895	1503 1500	i + m ɯe			ANA.NSP-CLF:PR.M	Huber2021
1040	we	WitotoMurui	Huitotoan	kaɯ	kaɯ	k a.ɯ	2987	1904	k a.ɯ			1PL	Huber2021
1041	we	WitotoMurui	Huitotoan	koko	koko	k o k o	2989	1905	k o k o			1DL.M	Huber2021
1042	we	WitotoMurui	Huitotoan	kaiɲaɯ	kaiɲaɯ	k a.i ɲ a.ɯ	2987	1906	k a.i ɲ a.ɯ			None	Huber2021
